time_of_day,day_of_week,is_holiday,weather_temp,density_status
16,0,0,36,GREEN
18,2,0,15,GREEN
15,6,0,34,YELLOW
13,3,0,36,GREEN
14,5,0,30,RED
10,2,0,37,GREEN
8,3,0,25,GREEN
12,1,0,27,GREEN
19,5,0,41,GREEN
19,1,0,24,GREEN
9,6,0,17,GREEN
12,4,0,23,GREEN
15,5,0,42,GREEN
18,3,0,26,GREEN
16,4,0,37,GREEN
9,0,0,28,GREEN
19,3,0,15,GREEN
10,2,0,32,GREEN
10,0,0,31,GREEN
8,0,1,41,GREEN
15,2,0,23,GREEN
13,5,0,23,YELLOW
19,0,0,37,GREEN
15,6,0,24,YELLOW
18,3,0,33,GREEN
16,4,0,43,GREEN
12,0,0,29,GREEN
19,3,0,19,GREEN
10,1,0,29,GREEN
12,3,0,34,GREEN
12,4,0,37,YELLOW
12,3,0,44,GREEN
10,2,0,39,GREEN
18,4,0,42,GREEN
17,5,0,16,GREEN
11,1,1,27,YELLOW
16,2,0,38,YELLOW
17,5,0,30,YELLOW
16,3,0,29,GREEN
9,4,0,39,GREEN
15,1,0,24,GREEN
15,2,0,28,GREEN
14,5,1,24,RED
15,5,0,39,YELLOW
10,1,0,28,GREEN
13,6,0,40,YELLOW
8,3,0,44,GREEN
14,1,0,37,GREEN
8,5,0,23,GREEN
16,0,0,39,GREEN
8,2,0,28,GREEN
8,1,0,17,GREEN
14,6,0,34,YELLOW
9,5,0,30,RED
12,3,0,16,GREEN
15,5,0,24,YELLOW
15,3,0,17,GREEN
10,1,0,25,GREEN
14,3,0,25,GREEN
10,4,0,35,GREEN
13,4,0,35,YELLOW
13,4,0,36,GREEN
10,6,0,27,GREEN
14,6,0,21,YELLOW
10,0,0,37,GREEN
15,6,0,31,YELLOW
17,1,0,44,GREEN
11,5,1,16,RED
8,5,0,26,GREEN
11,0,0,39,GREEN
14,6,0,24,RED
18,3,0,32,GREEN
11,0,0,36,GREEN
13,3,0,41,GREEN
16,3,0,25,GREEN
8,2,0,30,GREEN
12,5,0,31,RED
18,4,0,33,GREEN
14,6,0,32,YELLOW
8,3,0,17,GREEN
11,2,0,35,GREEN
13,5,0,41,YELLOW
9,4,0,40,GREEN
17,3,0,30,GREEN
12,3,1,20,RED
18,0,0,39,GREEN
17,0,1,26,YELLOW
8,5,0,25,YELLOW
13,4,0,29,GREEN
13,3,0,29,GREEN
11,5,0,30,YELLOW
15,5,0,24,RED
11,1,0,26,GREEN
15,6,0,42,YELLOW
15,0,0,27,YELLOW
12,4,0,18,GREEN
11,3,0,21,GREEN
19,5,1,36,RED
9,3,0,16,GREEN
18,1,1,40,YELLOW
10,4,0,41,GREEN
10,5,0,41,GREEN
11,3,0,41,GREEN
11,0,0,29,GREEN
17,6,0,22,GREEN
18,1,0,21,GREEN
18,4,0,29,GREEN
12,1,0,37,YELLOW
11,0,1,28,RED
18,4,0,22,GREEN
17,1,0,42,GREEN
15,2,0,26,YELLOW
13,0,0,27,GREEN
13,0,0,44,GREEN
15,0,0,25,GREEN
14,2,0,31,GREEN
17,2,0,43,GREEN
18,3,0,31,GREEN
19,5,0,38,YELLOW
17,6,0,18,GREEN
15,1,1,35,YELLOW
9,3,0,22,GREEN
16,1,0,19,GREEN
8,6,0,40,GREEN
15,5,0,30,YELLOW
19,2,0,18,GREEN
18,5,0,42,GREEN
19,2,1,36,YELLOW
19,6,0,43,GREEN
11,5,1,29,RED
11,3,1,26,RED
12,4,0,19,GREEN
15,3,0,44,GREEN
12,1,1,37,RED
15,3,0,30,GREEN
17,6,0,28,GREEN
8,0,1,24,YELLOW
19,1,0,21,GREEN
17,5,0,27,GREEN
16,1,0,34,GREEN
13,4,0,42,GREEN
10,2,0,43,GREEN
15,5,0,19,YELLOW
16,1,0,43,GREEN
13,5,0,17,YELLOW
18,5,0,29,YELLOW
14,5,0,18,RED
8,2,0,29,GREEN
12,6,0,28,YELLOW
12,3,0,34,GREEN
17,5,0,33,GREEN
11,0,0,27,GREEN
13,6,1,24,RED
14,4,0,35,GREEN
16,2,0,19,GREEN
8,1,0,41,GREEN
13,2,0,37,GREEN
14,1,0,34,GREEN
10,2,0,43,GREEN
15,1,0,34,GREEN
12,5,0,39,YELLOW
16,3,0,20,GREEN
12,1,0,18,GREEN
16,1,0,16,GREEN
17,0,0,36,GREEN
11,1,0,30,GREEN
16,0,0,32,GREEN
12,4,0,19,GREEN
17,5,0,36,GREEN
16,0,0,18,GREEN
10,3,0,44,GREEN
11,6,0,27,RED
16,5,0,33,YELLOW
17,0,0,37,GREEN
18,5,1,16,YELLOW
13,5,0,27,YELLOW
9,5,0,25,GREEN
14,4,0,44,GREEN
9,3,0,36,GREEN
18,2,0,43,GREEN
9,2,0,18,GREEN
18,0,0,36,GREEN
8,5,1,34,RED
18,0,0,34,GREEN
18,4,1,29,GREEN
19,4,0,18,GREEN
18,1,0,23,GREEN
10,4,0,21,GREEN
13,1,0,33,GREEN
15,3,0,33,GREEN
16,0,0,20,GREEN
14,6,0,20,YELLOW
11,3,0,34,GREEN
13,4,0,29,GREEN
12,3,0,29,GREEN
15,3,0,39,GREEN
8,3,0,34,GREEN
8,4,0,23,GREEN
18,6,0,18,GREEN
13,5,0,32,YELLOW
17,3,0,32,GREEN
19,1,1,19,YELLOW
9,4,0,34,GREEN
12,3,0,37,GREEN
8,6,0,44,GREEN
14,5,0,25,YELLOW
8,4,0,19,GREEN
11,2,0,36,GREEN
16,5,0,40,YELLOW
8,1,0,18,GREEN
11,3,1,43,GREEN
13,6,0,26,YELLOW
13,2,0,16,GREEN
19,6,0,27,YELLOW
15,2,0,24,GREEN
8,4,1,23,GREEN
14,2,0,24,YELLOW
8,1,0,21,GREEN
14,1,0,18,GREEN
10,0,0,33,GREEN
18,1,0,24,GREEN
15,5,0,44,YELLOW
10,2,0,17,GREEN
8,1,0,39,GREEN
15,4,0,35,GREEN
10,6,0,43,GREEN
9,6,0,33,GREEN
8,0,0,35,GREEN
10,6,0,16,GREEN
9,2,0,41,GREEN
9,0,0,34,GREEN
13,2,1,24,YELLOW
19,4,0,16,GREEN
8,0,0,16,GREEN
9,3,0,42,GREEN
13,5,0,38,YELLOW
10,5,0,31,GREEN
11,2,0,30,GREEN
8,6,0,30,YELLOW
15,3,1,28,RED
14,0,0,21,GREEN
14,3,0,35,GREEN
10,3,0,25,GREEN
17,6,0,38,GREEN
17,0,0,15,GREEN
10,4,0,25,GREEN
9,6,0,37,GREEN
19,3,0,35,GREEN
8,3,0,18,GREEN
14,4,0,21,YELLOW
14,3,0,40,GREEN
19,3,0,29,GREEN
9,3,0,32,GREEN
14,5,0,26,YELLOW
15,6,0,31,GREEN
8,1,0,15,GREEN
16,6,0,25,YELLOW
14,4,0,42,GREEN
10,3,0,15,GREEN
15,6,0,29,YELLOW
14,5,0,42,GREEN
18,4,0,35,GREEN
15,2,0,24,GREEN
13,6,0,21,YELLOW
16,2,0,16,GREEN
12,3,1,24,YELLOW
10,5,0,38,YELLOW
10,5,0,18,GREEN
8,6,0,26,GREEN
19,4,1,33,GREEN
15,4,0,40,GREEN
9,5,0,25,GREEN
10,4,0,22,GREEN
15,5,0,32,YELLOW
15,6,0,25,YELLOW
18,1,0,25,GREEN
11,5,1,27,RED
11,2,0,17,GREEN
12,4,0,26,YELLOW
13,5,0,17,YELLOW
12,5,0,24,YELLOW
14,6,0,41,YELLOW
9,4,0,31,GREEN
14,1,0,36,GREEN
17,6,0,16,GREEN
14,1,0,31,GREEN
8,6,0,30,YELLOW
14,4,0,16,GREEN
12,0,0,42,GREEN
10,4,0,36,GREEN
10,4,0,44,GREEN
11,1,0,34,GREEN
19,1,1,20,GREEN
9,4,0,42,GREEN
9,4,0,39,GREEN
8,4,0,43,GREEN
12,1,0,24,YELLOW
11,4,0,42,GREEN
18,4,0,24,GREEN
17,3,0,22,GREEN
9,0,0,15,GREEN
10,2,0,27,GREEN
14,0,0,38,GREEN
14,3,0,23,GREEN
19,2,0,36,GREEN
11,6,0,24,YELLOW
12,4,0,29,GREEN
12,3,0,19,GREEN
13,6,0,36,RED
16,4,0,30,GREEN
9,1,0,27,GREEN
12,5,0,36,YELLOW
19,3,0,39,GREEN
10,1,0,34,GREEN
11,3,0,32,GREEN
17,3,0,25,GREEN
13,1,0,41,GREEN
19,2,0,23,GREEN
15,0,0,30,GREEN
8,4,0,16,GREEN
17,3,0,40,GREEN
15,4,0,39,GREEN
18,5,0,16,GREEN
14,1,0,26,GREEN
8,4,0,22,GREEN
9,1,0,23,GREEN
10,4,0,26,GREEN
8,0,0,40,GREEN
16,0,0,23,YELLOW
15,0,0,24,GREEN
9,0,0,39,GREEN
16,0,0,16,GREEN
14,0,1,30,YELLOW
16,1,0,34,GREEN
13,3,0,21,GREEN
13,4,0,42,GREEN
18,0,0,16,GREEN
11,1,0,15,GREEN
17,1,0,33,GREEN
17,1,0,42,GREEN
9,3,0,18,GREEN
14,4,0,38,GREEN
12,3,0,36,GREEN
18,2,0,41,GREEN
13,6,1,16,RED
9,1,0,39,GREEN
12,2,0,28,GREEN
17,5,1,16,RED
11,0,0,43,GREEN
16,6,1,29,RED
13,0,0,26,GREEN
9,3,0,19,GREEN
8,6,0,42,GREEN
12,4,0,34,GREEN
16,2,0,43,GREEN
13,4,1,21,RED
17,3,0,38,GREEN
19,0,0,35,GREEN
14,6,0,24,YELLOW
12,4,0,28,GREEN
17,4,0,28,GREEN
13,0,0,19,GREEN
12,6,0,32,YELLOW
18,2,0,38,GREEN
16,0,0,28,GREEN
13,4,0,16,GREEN
18,2,0,40,GREEN
15,2,0,26,GREEN
9,0,0,36,GREEN
19,4,0,38,GREEN
16,3,0,20,GREEN
12,4,0,18,GREEN
14,1,0,27,GREEN
17,6,0,18,GREEN
8,5,0,36,GREEN
17,3,0,28,GREEN
12,2,0,30,GREEN
19,3,0,43,GREEN
17,6,0,18,YELLOW
9,2,0,38,GREEN
19,6,0,39,GREEN
13,2,0,15,GREEN
18,3,0,27,GREEN
8,2,0,18,GREEN
10,2,0,34,GREEN
12,1,0,32,GREEN
11,4,0,20,YELLOW
10,4,0,17,GREEN
17,5,0,37,YELLOW
12,5,0,27,YELLOW
18,1,1,41,GREEN
15,5,0,30,RED
18,6,0,41,GREEN
11,3,1,19,YELLOW
8,0,0,18,GREEN
18,6,1,35,RED
14,0,0,22,GREEN
15,0,0,33,GREEN
10,1,0,28,GREEN
13,6,0,21,YELLOW
9,1,0,28,GREEN
14,2,0,20,YELLOW
15,0,0,26,GREEN
13,3,0,30,GREEN
13,5,0,31,YELLOW
12,3,0,27,GREEN
15,5,1,37,RED
8,0,0,28,GREEN
17,0,0,43,GREEN
11,0,0,21,GREEN
11,1,0,28,GREEN
10,6,0,29,GREEN
10,5,0,26,YELLOW
11,6,0,31,YELLOW
18,1,0,23,GREEN
8,1,0,36,GREEN
18,4,0,29,GREEN
18,3,0,26,GREEN
9,3,0,16,GREEN
16,2,0,19,GREEN
17,1,0,27,GREEN
9,5,0,41,GREEN
12,4,0,34,GREEN
16,4,0,37,GREEN
16,6,0,22,YELLOW
15,3,0,41,GREEN
8,1,0,28,GREEN
8,2,0,29,GREEN
16,1,0,25,GREEN
18,6,0,15,YELLOW
15,0,0,35,GREEN
17,1,0,17,GREEN
16,6,0,31,YELLOW
